Row ID,Order ID,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Province,Region,Customer Segment,Product Category,Product Container,Product Base Margin,Customer Rating
362,2532,High,39,282.07,0.03,Regular Air,140.01 Toman,7.31,0.49,Bushehr,East,Corporate,Office Supplies,Small Box,0.38,
381,2631,Low,27,1078.49,0.08,Regular Air,252.66 Toman,40.96,1.99,Bushehr,East,Corporate,Technology,Small Pack,0.55,
406,2757,Critical,39,3554.46,0.07,Delivery Truck,-1766.01 Toman,95.95,74.35,Bushehr,East,Corporate,Furniture,Jumbo Drum,0.57,
413,2791,High,47,191.67,0.0,Regular Air,-236.2675 Toman,3.89,7.01,Bushehr,East,Corporate,Office Supplies,Small Box,0.37,
415,2791,High,18,507.64,0.1,Regular Air,118.94 Toman,30.98,5.76,Bushehr,East,Corporate,Office Supplies,Small Box,0.4,
440,2976,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22 Toman,500.98,26.0,Bushehr,East,Consumer,Furniture,Jumbo Drum,0.6,
471,3232,Critical,5,42.66,0.06,Regular Air,-11.8335 Toman,7.84,4.71,Bushehr,East,Small Business,Office Supplies,Small Box,0.35,
577,3908,Medium,8,820.284,0.0,Regular Air,-180.202 Toman,115.99,2.5,Bushehr,East,Corporate,Technology,Small Box,0.57,
606,4132,Not Specified,5,14.76,0.01,,1.32 Toman,2.88,0.5,Bushehr,East,Corporate,Office Supplies,Small Box,0.36,
656,4612,Medium,9,89.55,0.06,Regular Air,-375.64 Toman,4.48,49.0,Bushehr,East,Corporate,Office Supplies,Large Box,0.6,
669,4676,High,11,1210.0514999999998,0.04,Regular Air,-104.24700000000009 Toman,125.99,7.69,Bushehr,East,Home Office,Technology,Small Box,0.58,
670,4676,High,50,187.83,0.03,Regular Air,85.96 Toman,3.75,0.5,Bushehr,East,Home Office,Office Supplies,Small Box,0.37,
671,4676,High,3,49.59,0.07,Express Air,-8.38 Toman,12.28,6.47,Bushehr,East,Home Office,Office Supplies,Small Box,0.38,
734,5284,Not Specified,7,59.38,0.1,,-3.0475 Toman,8.69,2.99,Bushehr,East,Home Office,Office Supplies,Small Box,0.39,
769,5506,Critical,22,129.62,0.05,Regular Air,4.41 Toman,5.88,3.04,Bushehr,East,Corporate,Office Supplies,Wrap Bag,0.36,
782,5569,Not Specified,12,118.97,0.09,Regular Air,-0.0599999999999951 Toman,9.65,6.22,Bushehr,East,Corporate,Furniture,Small Box,0.55,
786,5607,Not Specified,8,61.871500000000005,0.0,Regular Air,-50.325 Toman,7.99,5.03,Bushehr,East,Home Office,Technology,Medium Box,0.6,Average
817,5894,High,7,384.33,0.1,Regular Air,87.6775 Toman,58.1,1.49,Bushehr,East,Corporate,Office Supplies,Small Box,0.38,
821,5925,Low,44,3922.42,0.08,Regular Air,-354.9 Toman,92.23,39.61,Bushehr,East,Home Office,Furniture,Medium Box,0.67,
839,6016,High,19,208.28,0.07,Regular Air,3.63 Toman,11.48,5.43,Bushehr,East,Home Office,Office Supplies,Small Box,0.36,
853,6116,Medium,6,9620.82,0.04,Regular Air,-1759.58 Toman,1637.53,24.49,Bushehr,East,Corporate,Office Supplies,Medium Box,0.81,
864,6182,Low,18,130.32,0.04,,-67.28 Toman,6.48,7.86,Bushehr,East,Corporate,Office Supplies,Small Box,0.37,
911,6535,Critical,11,312.36,0.07,Express Air,-19.33 Toman,28.15,8.99,Bushehr,East,Corporate,Office Supplies,Small Pack,0.57,
950,6884,Low,41,217.0,0.01,Regular Air,-61.21 Toman,4.98,4.75,Bushehr,East,Home Office,Office Supplies,Small Box,0.36,
956,6916,Low,40,436.17,0.08,Express Air,-141.27 Toman,10.9,7.46,Bushehr,East,Consumer,Office Supplies,Small Box,0.59,
963,6980,Not Specified,18,136.29,0.05,Regular Air,-77.28 Toman,7.3,7.72,Bushehr,East,Consumer,Office Supplies,Small Box,0.38,
964,6982,Not Specified,32,1311.25,0.0,Express Air,407.44 Toman,39.48,1.99,Bushehr,East,Corporate,Technology,Small Pack,0.54,
966,6982,Not Specified,41,844.09,0.04,Regular Air,52.56 Toman,19.98,10.49,Bushehr,East,Corporate,Furniture,Small Box,0.49,
988,7110,Low,22,6396.2,0.02,Regular Air,1902.24 Toman,276.2,24.49,Bushehr,East,Corporate,Furniture,Large Box,,
1017,7430,Medium,50,751.77,0.05,Regular Air,353.2 Toman,15.67,1.39,Bushehr,East,Corporate,Office Supplies,Small Box,0.38,
1154,8391,High,4,1266.72,0.04,Delivery Truck,-268.36 Toman,300.98,64.73,Bushehr,East,Corporate,Furniture,Jumbo Drum,0.56,
1156,8419,Critical,19,368.04,0.07,Express Air,70.39 Toman,19.98,5.97,Bushehr,East,Small Business,Office Supplies,Small Box,0.38,
1157,8419,Critical,24,152.6,0.1,Regular Air,-86.62 Toman,6.48,7.03,Bushehr,East,Small Business,Office Supplies,Small Box,0.37,Excellent
1205,8833,Low,40,3338.98,0.0,Regular Air,-846.73 Toman,80.98,35.0,Bushehr,East,Small Business,Office Supplies,Large Box,0.81,Poor
1226,8995,High,5,24.16,0.08,Express Air,8.0495 Toman,1.88,1.49,Bushehr,East,Consumer,Office Supplies,Small Box,0.37,
1229,8995,High,42,266.36,0.07,Regular Air,-191.28 Toman,6.48,8.19,Kerman,Northwest,Consumer,Office Supplies,Small Box,0.37,
1230,8995,High,46,89.41,0.01,Regular Air,-21.49 Toman,1.89,0.76,Kerman,Northwest,Consumer,Office Supplies,Wrap Bag,0.83,Average
1258,9126,Medium,47,2799.7,0.04,Regular Air,884.08 Toman,62.05,3.99,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.55,
1259,9127,Not Specified,7,2039.56,0.04,Express Air,-329.49 Toman,279.48,35.0,Kerman,Northwest,Corporate,Office Supplies,Large Box,0.8,
1299,9509,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15 Toman,320.98,58.95,Kerman,Northwest,Home Office,Furniture,Jumbo Drum,0.57,
1300,9509,Not Specified,5,101.21,0.1,Express Air,2.13 Toman,18.97,5.21,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.37,Excellent
1337,9763,Medium,44,176.26,0.07,Regular Air,75.13 Toman,4.13,0.5,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.39,Average
1370,9927,High,32,4655.07,0.0,,-270.63 Toman,140.98,53.48,Kerman,Northwest,Corporate,Furniture,Jumbo Box,0.65,Average
1371,9927,High,44,10087.6,0.01,Regular Air,3387.35 Toman,218.08,18.06,Kerman,Northwest,Corporate,Furniture,Large Box,0.57,
1380,10022,Low,1,12.18,0.06,Regular Air,-3.88 Toman,10.14,2.27,Kerman,Northwest,Small Business,Office Supplies,Wrap Bag,0.36,
1457,10499,Not Specified,29,6250.936000000001,0.01,Delivery Truck,31.21 Toman,262.11,62.74,Kerman,Northwest,Corporate,Furniture,Jumbo Box,0.75,
1495,10789,Not Specified,15,308.54,0.0,Express Air,76.42 Toman,19.84,4.1,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.44,
1496,10791,Not Specified,20,400.57,0.05,Regular Air,93.36 Toman,19.98,5.77,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.38,
1513,10945,Medium,14,1170.025,0.04,Regular Air,4.221000000000011 Toman,95.99,8.99,Kerman,Northwest,Consumer,Technology,Small Box,0.57,
1544,11137,High,48,5188.86,0.1,Regular Air,395.12 Toman,111.03,8.64,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.78,
1589,11456,Low,15,1519.9,0.09,Regular Air,399.37 Toman,105.34,24.49,Kerman,Northwest,Corporate,Furniture,Large Box,0.61,
1590,11460,High,30,102.24,0.09,Regular Air,37.79 Toman,3.69,0.5,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.38,Poor
1594,11495,High,6,965.69,0.0,Delivery Truck,-144.198 Toman,146.34,43.75,Kerman,Northwest,Corporate,Furniture,Jumbo Box,0.65,
1654,11911,Critical,25,397.84,0.0,Regular Air,-14.7545 Toman,15.22,9.73,Kerman,Northwest,Consumer,Office Supplies,Small Box,0.36,Average
1675,12096,Medium,46,8009.592499999999,0.02,Regular Air,2332.395 Toman,200.99,8.08,Kerman,Northwest,Home Office,Technology,Small Box,0.59,
1676,12096,Medium,23,4689.66,0.01,Regular Air,2176.19 Toman,194.3,11.54,Kerman,Northwest,Home Office,Furniture,Large Box,0.59,
1710,12289,Low,25,3019.41,0.04,Regular Air,1269.05 Toman,120.97,7.11,Kerman,Northwest,Corporate,Technology,Medium Box,0.36,
1718,12352,Medium,5,36.86,0.07,Regular Air,-32.821 Toman,5.81,8.49,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.39,
1727,12419,Critical,12,22079.47,0.06,Regular Air,5322.14 Toman,1938.02,13.99,Kerman,Northwest,Corporate,Technology,Medium Box,0.38,Average
1745,12485,Critical,24,5407.31,0.04,Delivery Truck,1068.48 Toman,226.67,28.16,Kerman,Northwest,Home Office,Furniture,Jumbo Drum,0.59,
1751,12544,Low,34,74.3,0.08,Regular Air,-129.01 Toman,2.08,5.33,Kerman,Northwest,Corporate,Furniture,Small Box,0.43,
1770,12704,Low,44,21506.77,0.06,Regular Air,1260.51 Toman,499.99,24.49,Kerman,Northwest,Small Business,Technology,Large Box,0.36,Average
1771,12704,Low,28,669.02,0.02,Delivery Truck,-1274.02 Toman,20.98,53.03,Kerman,Northwest,Small Business,Office Supplies,Jumbo Drum,0.78,
1781,12771,Critical,40,1143.49,0.08,Regular Air,-193.44 Toman,30.53,19.99,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.39,
1806,12929,Critical,19,5297.47,0.02,Delivery Truck,-158.93 Toman,270.98,50.0,Kerman,Northwest,Corporate,Furniture,Jumbo Drum,0.77,
1807,12929,Critical,20,95.3,0.0,Regular Air,29.68 Toman,4.48,1.22,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.36,
1843,13280,High,49,318.7585,0.1,Regular Air,-160.952 Toman,7.99,5.03,Kerman,Northwest,Small Business,Technology,Medium Box,0.6,
1848,13313,Not Specified,47,1020.61,0.04,Regular Air,-209.61 Toman,21.66,13.99,Kerman,Northwest,Home Office,Office Supplies,Medium Box,0.52,
1855,13346,Low,44,268.34,0.09,Regular Air,-240.83 Toman,6.48,8.88,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.37,
1913,13702,Low,6,209.0,0.08,Regular Air,12.32 Toman,35.44,7.5,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.38,
1928,13795,Not Specified,30,501.32,0.04,,-119.0825 Toman,15.99,13.18,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.37,
1929,13795,Not Specified,23,275.16,0.05,Express Air,43.35 Toman,11.34,5.01,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.36,
1930,13795,Not Specified,37,1302.99,0.02,Regular Air,545.49 Toman,35.44,5.09,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.38,Excellent
1978,14116,High,1,40.1,0.09,Regular Air,-16.0655 Toman,30.98,11.63,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.37,Poor
1979,14116,High,42,1414.05,0.09,Regular Air,161.483 Toman,34.54,14.72,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.37,
2070,14819,Not Specified,48,9062.73,0.09,Regular Air,3122.78 Toman,207.48,0.99,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.55,
2071,14819,Not Specified,27,1584.1,0.07,Delivery Truck,-478.22 Toman,58.14,36.61,Kerman,Northwest,Home Office,Furniture,Jumbo Box,0.61,
2114,15106,Not Specified,42,283.58,0.03,Regular Air,-14.23 Toman,6.64,4.95,Kerman,Northwest,Home Office,Furniture,Small Pack,0.37,
2115,15106,Not Specified,39,5403.37,0.06,Delivery Truck,948.79 Toman,145.45,17.85,Kerman,Northwest,Home Office,Technology,Jumbo Drum,0.56,
2116,15106,Not Specified,35,82.15,0.03,Regular Air,-6.33 Toman,2.21,1.12,Kerman,Northwest,Home Office,Office Supplies,Wrap Bag,0.58,
2117,15108,High,50,2066.16,0.02,Regular Air,372.36 Toman,40.99,17.48,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.36,
2129,15205,Critical,18,4605.36,0.02,Delivery Truck,678.26 Toman,243.98,43.32,Kerman,Northwest,Corporate,Furniture,Jumbo Drum,0.55,
2130,15205,Critical,42,1753.51,0.02,Regular Air,155.72 Toman,39.98,9.2,Kerman,Northwest,Corporate,Furniture,Wrap Bag,0.65,
2161,15591,Critical,31,426.34,0.0,Regular Air,73.53 Toman,12.58,5.16,Kerman,Northwest,Small Business,Furniture,Small Box,0.43,
2206,15907,High,36,1837.44,0.01,Delivery Truck,-1414.41 Toman,48.58,54.11,Kerman,Northwest,Home Office,Furniture,Jumbo Box,0.69,
2207,15907,High,36,3722.29,0.04,Express Air,950.68 Toman,105.98,13.99,Kerman,Northwest,Home Office,Furniture,Medium Box,0.65,
2208,15907,High,4,28.05,0.09,Regular Air,-5.41 Toman,7.04,2.17,Kerman,Northwest,Home Office,Office Supplies,Wrap Bag,0.38,Excellent
2209,15937,Low,32,311.44,0.04,Regular Air,74.07 Toman,9.78,1.99,Kerman,Northwest,Corporate,Technology,Small Pack,0.43,Average
2210,15937,Low,17,215.65,0.01,Express Air,77.38 Toman,12.22,2.85,Kerman,Northwest,Corporate,Furniture,Small Pack,0.55,
2221,16039,High,3,121.12,0.1,Regular Air,-118.82 Toman,43.98,1.99,Kerman,Northwest,Home Office,Technology,Small Pack,0.44,
2246,16193,Not Specified,8,300.2,0.0,Regular Air,6.410000000000011 Toman,34.76,8.22,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.57,
2281,16423,Medium,19,128.21,0.05,Regular Air,-55.13 Toman,6.48,6.57,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.37,
2283,16451,Not Specified,9,252.79,0.09,Regular Air,58.225 Toman,30.56,2.99,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.35,Poor
2294,16545,Not Specified,10,50.97,0.09,Regular Air,4.45 Toman,5.16,0.73,Kerman,Northwest,Small Business,Office Supplies,Wrap Bag,0.56,
2295,16545,Not Specified,1,4.99,0.04,Regular Air,-3.06 Toman,3.68,1.32,Kerman,Northwest,Small Business,Office Supplies,Wrap Bag,0.83,
2296,16547,Not Specified,30,10554.63,0.09,Delivery Truck,1240.25 Toman,355.98,58.92,Kerman,Northwest,Corporate,Furniture,Jumbo Drum,0.64,Average
2297,16547,Not Specified,8,1749.64,0.04,Delivery Truck,-533.2320000000001 Toman,218.75,69.64,Kerman,Northwest,Corporate,Furniture,Jumbo Box,0.77,
2318,16706,High,49,6175.777,0.07,,1881.576 Toman,155.99,3.9,Kerman,Northwest,Corporate,Technology,Small Box,0.55,
2323,16741,Medium,6,157.97,0.01,Regular Air,-42.38 Toman,22.84,16.87,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.39,
2346,16932,Critical,25,144.84,0.09,Regular Air,-120.99 Toman,5.78,8.09,Kerman,Northwest,Consumer,Office Supplies,Small Box,0.36,
2347,16932,Critical,20,127.16,0.09,Regular Air,12.88 Toman,6.7,1.56,Kerman,Northwest,Consumer,Office Supplies,Wrap Bag,0.52,Poor
2383,17283,Not Specified,4,5472.12,0.06,Delivery Truck,-2816.3379 Toman,1360.14,14.7,Kerman,Northwest,Home Office,Technology,Jumbo Drum,0.59,Poor
2384,17286,High,7,1810.67,0.09,Delivery Truck,-541.87 Toman,270.98,50.0,Kerman,Northwest,Small Business,Furniture,Jumbo Drum,0.77,
2402,17409,Not Specified,31,633.56,0.09,Regular Air,-158.87 Toman,20.97,6.5,Kerman,Northwest,Small Business,Technology,Small Box,0.78,
2445,17764,Low,27,644.4,0.04,Regular Air,-97.28 Toman,22.84,16.87,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.39,
2483,18080,High,7,1211.98,0.1,Delivery Truck,-80.83 Toman,180.98,26.2,Kerman,Northwest,Corporate,Furniture,Jumbo Drum,0.59,
2491,18144,Critical,41,1779.8914999999995,0.09,Regular Air,-250.173 Toman,55.99,5.0,Kerman,Northwest,Corporate,Technology,Small Pack,0.8,
2520,18308,Not Specified,30,114.12,0.05,Regular Air,15.725 Toman,3.8,1.49,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.38,
2522,18308,Not Specified,49,5247.4835,0.0,Regular Air,1465.866 Toman,125.99,8.08,Kerman,Northwest,Corporate,Technology,Small Box,0.57,
2615,18887,Not Specified,9,173.417,0.0,Regular Air,18.234 Toman,20.99,0.99,Kerman,Northwest,Corporate,Technology,Wrap Bag,0.37,
2624,19010,Low,18,23792.93,0.0,Regular Air,10951.3065 Toman,1270.99,19.99,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.35,
2726,19655,High,31,1143.45,0.06,Regular Air,304.42 Toman,39.24,1.99,Kerman,Northwest,Corporate,Technology,Small Pack,0.51,
2782,20071,Medium,31,789.94,0.1,Delivery Truck,-190.41 Toman,25.98,14.36,Kerman,Northwest,Home Office,Furniture,Jumbo Drum,0.6,
2796,20160,Low,42,435.24,0.08,Express Air,174.89 Toman,10.31,1.79,Kerman,Northwest,Small Business,Office Supplies,Wrap Bag,0.38,
2811,20263,Medium,8,473.7,0.05,Regular Air,72.51350000000001 Toman,59.78,10.29,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.39,
2935,21285,Medium,32,54.78,0.02,Regular Air,-30.54 Toman,1.68,1.57,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.59,
2936,21285,Medium,47,304.83,0.1,Regular Air,23.82 Toman,7.08,2.35,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.47,
2999,21607,Not Specified,17,618.9,0.09,Regular Air,54.92 Toman,36.55,13.89,Kerman,Northwest,Home Office,Office Supplies,Wrap Bag,0.41,
3006,21636,Low,35,1665.0395,0.02,Regular Air,366.507 Toman,55.99,3.3,Kerman,Northwest,Home Office,Technology,Small Pack,0.59,
3052,21889,Low,21,1049.79,0.08,Regular Air,135.79 Toman,51.75,19.99,Kerman,Northwest,Consumer,Furniture,Small Box,0.55,
3053,21889,Low,16,817.18,0.1,Regular Air,103.38 Toman,55.29,5.08,Kerman,Northwest,Consumer,Office Supplies,Small Box,0.59,
3089,22151,High,49,465.83,0.1,Regular Air,-79.72 Toman,9.65,6.22,Kerman,Northwest,Corporate,Furniture,Small Box,0.55,
3110,22342,Low,13,241.706,0.0,Regular Air,-92.961 Toman,20.99,3.3,Kerman,Northwest,Small Business,Technology,Small Pack,0.81,
3135,22469,High,44,275.91,0.1,Regular Air,-162.371 Toman,7.99,5.03,Kerman,Northwest,Corporate,Technology,Medium Box,0.6,
3138,22501,High,2,30.83,0.04,Express Air,7.27 Toman,7.64,1.39,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.36,
3140,22532,Critical,13,121.66,0.03,Regular Air,-11.799 Toman,8.85,5.6,Kerman,Northwest,Consumer,Office Supplies,Small Box,0.36,
3244,23264,Critical,16,108.42,0.02,Regular Air,-50.82 Toman,6.48,6.81,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.36,
3284,23488,Critical,30,26133.39,0.04,,-11053.6 Toman,880.98,44.55,Kerman,Northwest,Home Office,Furniture,Jumbo Box,0.62,
3300,23584,Critical,14,2671.21,0.06,Delivery Truck,636.18 Toman,200.97,15.59,Kerman,Northwest,Corporate,Technology,Jumbo Drum,0.36,
3355,24007,Low,26,531.66,0.08,Regular Air,135.65 Toman,20.89,1.99,Kerman,Northwest,Home Office,Technology,Small Pack,0.48,Average
3356,24007,Low,28,317.85,0.06,Regular Air,-13.95 Toman,11.58,6.97,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.35,
3357,24007,Low,42,163.08,0.09,Regular Air,66.17 Toman,4.13,0.5,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.39,
3359,24038,High,38,103.07,0.1,Regular Air,-0.9499999999999992 Toman,2.78,1.34,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.45,
3371,24097,High,1,17.19,0.0,Regular Air,-35.34 Toman,14.48,1.99,Kerman,Northwest,Small Business,Technology,Small Pack,0.49,
3372,24097,High,27,2689.48,0.04,Regular Air,399.93 Toman,99.99,19.99,Kerman,Northwest,Small Business,Technology,Small Box,0.5,
3373,24097,High,2,15.31,0.01,Regular Air,-8.15 Toman,4.98,4.86,Kerman,Northwest,Small Business,Office Supplies,Small Box,0.38,
3380,24128,High,13,270.63,0.1,Regular Air,7.07 Toman,21.98,8.32,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.39,
3381,24128,High,43,6583.913,0.09,Regular Air,1459.791 Toman,195.99,3.99,Kerman,Northwest,Corporate,Technology,Small Box,0.59,
3419,24387,Critical,17,6048.18,0.04,Delivery Truck,1418.36 Toman,349.45,60.0,Kerman,Northwest,Small Business,Furniture,Jumbo Drum,,
3434,24515,Critical,41,3051.27,0.1,Delivery Truck,121.48 Toman,80.97,33.6,Kerman,Northwest,Home Office,Technology,Jumbo Drum,0.37,
3478,24743,Low,47,9633.59,0.06,Delivery Truck,176.67 Toman,216.6,64.2,Kerman,Northwest,Corporate,Furniture,Jumbo Drum,0.59,
3552,25318,Critical,22,440.92,0.05,,-65.18 Toman,19.98,10.49,Kerman,Northwest,Small Business,Furniture,Small Box,0.49,
3560,25377,Low,3,4343.51,0.09,Delivery Truck,-3755.0331 Toman,1500.97,29.7,Kerman,Northwest,Corporate,Technology,Jumbo Drum,0.57,Excellent
3591,25634,Not Specified,29,593.32,0.03,Regular Air,28.99 Toman,20.95,4.0,Kerman,Northwest,Corporate,Technology,Small Box,0.6,
3604,25767,High,7,261.88,0.08,Regular Air,-59.2 Toman,39.48,1.99,Kerman,Northwest,Corporate,Technology,Small Pack,0.54,
3605,25767,High,15,593.73,0.04,Regular Air,108.01 Toman,38.76,13.26,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.36,
3641,26023,High,49,120.77,0.03,Regular Air,19.86 Toman,2.47,1.02,Kerman,Northwest,Corporate,Office Supplies,Wrap Bag,0.38,
3643,26051,Not Specified,22,795.74,0.0,Delivery Truck,-127.39 Toman,33.94,19.19,Kerman,Northwest,Home Office,Furniture,Jumbo Drum,0.58,
3644,26051,Not Specified,31,251.75,0.07,Regular Air,22.46 Toman,8.33,1.99,Kerman,Northwest,Home Office,Technology,Small Pack,0.52,
3658,26182,Not Specified,30,4684.9,0.01,Delivery Truck,-549.27 Toman,150.98,66.27,Kerman,Northwest,Corporate,Furniture,Jumbo Box,0.65,
3688,26370,Not Specified,12,270.23,0.08,Regular Air,52.02 Toman,22.84,5.47,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.39,
3689,26370,Not Specified,20,660.27,0.09,Express Air,63.83 Toman,34.76,5.49,Kerman,Northwest,Home Office,Office Supplies,Small Box,0.6,
3716,26531,Medium,26,4688.9485,0.0,Regular Air,1215.441 Toman,205.99,5.26,Kerman,Northwest,Corporate,Technology,Small Box,0.56,
3719,26567,Critical,8,50.7,0.08,Regular Air,-44.068 Toman,5.4,7.78,Kerman,Northwest,Corporate,Office Supplies,Small Box,0.37,
3720,26567,Critical,10,90.06,0.09,Express Air,-100.51 Toman,8.46,8.99,Kerman,Northwest,Corporate,Technology,Small Pack,0.79,
3721,26567,Critical,22,338.52,0.21,Regular Air,-17.75 Toman,14.98,8.99,Kerman,Northwest,Corporate,Furniture,Small Pack,0.39,
3722,26567,Critical,48,6109.817,0.04,Regular Air,1374.948 Toman,155.99,8.08,Kerman,Northwest,Corporate,Technology,Small Box,0.6,
3805,27109,Critical,48,538.22,0.01,Regular Air,-154.66 Toman,10.97,6.5,Kerman,Northwest,Consumer,Technology,Small Box,0.64,
3806,27111,High,11,1064.23,0.06,Regular Air,-127.56 Toman,99.99,19.99,Kerman,Northwest,Home Office,Technology,Small Box,0.52,Poor
